TaxiId,Latitude,Longitude
abnovkak,37.80107,-122.39182
abwecnij,37.80539,-122.40163
aichash,37.8003,-122.3958
ajthof,37.79957,-122.39357
amciuca,37.80695,-122.39681
amnurgji,37.80489,-122.40131
ancorjo,37.7985,-122.39518
ancorjo,37.80024,-122.39702
andyol,37.77394,-122.38454
ankped,37.78046,-122.38134
ankped,37.80786,-122.3842
ankped,37.80653,-122.40304
ankped,37.80475,-122.37191
ankped,37.78733,-122.3857
ankped,37.79688,-122.39417
arcurbig,37.79637,-122.39332
arcurbig,37.79934,-122.39416
ascley,37.80643,-122.40149
ascley,37.80186,-122.38639
atnokvo,37.80088,-122.39357
auctjir,37.80605,-122.40203
avglybic,37.80173,-122.39699
benfrag,37.80272,-122.38791
benfrag,37.78248,-122.38607
brulra,37.79462,-122.38703
cces,37.798,-122.39459
dgra,37.79769,-122.393
djiye,37.77416,-122.3846
digkr,37.79782,-122.39454
digkr,37.78707,-122.38546
joug,37.79641,-122.39317
joug,37.79591,-122.38857
rsdo,37.80022,-122.39749
fcati,37.7971,-122.39293
fcati,37.80913,-122.39893
fgoaku,37.79554,-122.38504
fonve,37.80501,-122.4017
fspheco,37.7998,-122.39478
gnatab,37.77421,-122.38478
jshigib,37.79894,-122.39563
lbnaxa,37.79957,-122.39414
llimtbu,37.78785,-122.38258
llimtbu,37.79241,-122.36766
kkand,37.79235,-122.38724
kkand,37.79743,-122.36561
yonsn,37.80472,-122.40087
osluip,37.8014,-122.39826
oydba,37.80678,-122.3649
oydba,37.79738,-122.38969
oydba,37.78546,-122.38396
quoaw,37.77417,-122.38468
rjtail,37.8049,-122.40019
rulghiv,37.80409,-122.37224
rulghiv,37.80409,-122.37224
rulghiv,37.80024,-122.37422
rulghiv,37.79578,-122.37954
rwumu,37.80566,-122.40167
shria,37.78226,-122.38087
sudcejo,37.79937,-122.39609
bglo,37.80115,-122.39171
bglo,37.80665,-122.38097
skafvo,37.80032,-122.39367
ytups,37.79292,-122.38945
iatojbo,37.80802,-122.40161
iawxben,37.80041,-122.39067
ibpijda,37.79941,-122.38327
icagpony,37.81012,-122.40216
icdultha,37.80912,-122.37155
ichikiga,37.79795,-122.3934
ideutgoa,37.7983,-122.39487
idjokva,37.7742,-122.38465
idjokva,37.80353,-122.3952
idvowwed,37.8063,-122.40139
ifanfadd,37.80214,-122.39757
ifragcic,37.80472,-122.40086
ijhigof,37.77369,-122.38398
ilkble,37.80551,-122.39231
imwyojy,37.79604,-122.39278
indtwra,37.80009,-122.36625
iotklojy,37.79357,-122.3904
ioytgor,37.8075,-122.39831
ioytgor,37.80801,-122.37345
ippfeip,37.78455,-122.38456
irjfen,37.77421,-122.38461
itbadpi,37.7998,-122.39581
itbadpi,37.8034,-122.39363
itquirla,37.79835,-122.37849
oafhynu,37.79911,-122.39631
oakpikoo,37.78571,-122.38636
oapwycti,37.79868,-122.39609
obceoo,37.792,-122.38034
ocshitcl,37.79946,-122.39522
ofjeequo,37.79282,-122.38937
ogawjem,37.80016,-122.39755
ognowwoz,37.79791,-122.39266
ognowwoz,37.79976,-122.37326
ogofvoi,37.78712,-122.38504
ogphagpi,37.79893,-122.39508
ogphagpi,37.79581,-122.38908
oivnabyo,37.79513,-122.38923
oivnabyo,37.80365,-122.37914
ojfanni,37.77423,-122.3847
ojpoota,37.80537,-122.40077
ojumna,37.80123,-122.3972
ojvighta,37.79406,-122.39085
ojvighta,37.80052,-122.39666
okquakar,37.80053,-122.39692
omcuky,37.80065,-122.39655
onyacju,37.79758,-122.39275
oogchyog,37.78713,-122.3851
oogchyog,37.80808,-122.37312
oogchyog,37.80529,-122.40194
ootquoa,37.79841,-122.39508
opgovebo,37.80036,-122.39489
ophugbe,37.78709,-122.38623
ophugbe,37.79052,-122.38751
otasfier,37.77384,-122.3849
otscokdr,37.77424,-122.38474
otscokdr,37.79919,-122.39586
ouvdank,37.80473,-122.37491
ovnacgad,37.79395,-122.39055
owufrey,37.79768,-122.38835
owufrey,37.78362,-122.38328
ubjajo,37.80692,-122.37598
ubjajo,37.80834,-122.37441
ubjaju,37.78704,-122.38532
uchjafy,37.80079,-122.38685
udwiull,37.79881,-122.39507
ufdoyno,37.77686,-122.37886
ugatna,37.80457,-122.4009
ujkiwe,37.79712,-122.39394
ujtrud,37.80747,-122.40295
utjanre,37.80765,-122.39241
